af: Afrikaans  
am: Amharic  
ar: Arabic  
az: Azerbaijani  
be: Belarusian  
bg: Bulgarian  
bn: Bengali  
bs: Bosnian  
ca: Catalan  
cs: Czech  
cy: Welsh  
da: Danish  
de: German  
el: Greek  
en: English  
es: Spanish  
et: Estonian  
eu: Basque  
fa: Persian  
fi: Finnish  
fr: French  
gl: Galician  
gu: Gujarati  
haw: Hawaiian  
he / iw: Hebrew *(note: whisper uses `he`, googletrans uses `iw`)*  
hi: Hindi  
hr: Croatian  
ht: Haitian Creole  
hu: Hungarian  
hy: Armenian  
id: Indonesian  
is: Icelandic  
it: Italian  
ja: Japanese  
jw: Javanese  
ka: Georgian  
kk: Kazakh  
km: Khmer  
kn: Kannada  
ko: Korean  
la: Latin  
lb: Luxembourgish  
lo: Lao  
lt: Lithuanian  
lv: Latvian  
mg: Malagasy  
mi: Maori  
mk: Macedonian  
ml: Malayalam  
mn: Mongolian  
mr: Marathi  
ms: Malay  
mt: Maltese  
my: Burmese  
ne: Nepali  
nl: Dutch  
no: Norwegian  
pa: Punjabi  
pl: Polish  
ps: Pashto  
pt: Portuguese  
ro: Romanian  
ru: Russian  
sd: Sindhi  
si: Sinhala  
sk: Slovak  
sl: Slovenian  
so: Somali  
sq: Albanian  
sr: Serbian  
su: Sundanese  
sv: Swedish  
sw: Swahili  
ta: Tamil  
te: Telugu  
th: Thai  
tr: Turkish  
uk: Ukrainian  
ur: Urdu  
uz: Uzbek  
vi: Vietnamese  
yi: Yiddish  
yo: Yoruba  
zh : Chinese 
zh-cn : Chinese //googletrans
zh-tw : Taiwanese //googletrans
